RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  294  340     0     0  con    0  1.0D+00  1.2D-01  3.465D-03  1.280D+00
  295  341     0     0  con    0  1.0D+00  1.3D-01  9.940D-03  1.279D+00
  296  342     0     0  con    0  1.0D+00  1.8D-01  4.518D-03  1.279D+00
  297  343     0     0  con    0  1.0D+00  2.4D-01  2.797D-02  1.279D+00
  298  344     0     0  con    0  1.0D+00  4.6D-02  4.866D-03  1.279D+00
  299  345     0     0  con    0  1.0D+00  1.6D-02  5.506D-03  1.279D+00
  300  346     0     0  con    0  1.0D+00  5.3D-02  8.007D-03  1.279D+00
  301  347     0     0  con    0  1.0D+00  5.3D-02  6.232D-03  1.279D+00
  302  348     0     0  con    0  1.0D+00  1.4D-01  8.183D-03  1.279D+00
  303  349     0     0  con    0  1.0D+00  2.1D-02  3.149D-03  1.278D+00
  304  350     0     0  con    0  1.0D+00  6.4D-03  2.506D-03  1.278D+00
  305  351     0     0  con    0  1.0D+00  3.1D-02  3.794D-03  1.278D+00
